scope,house_a,house_b,origin_a,origin_b,both_emigre,same_origin_group,weight,shared_days
all_crises,Bank of Montreal,London County & Westminster Bank,Colonial / Imperial bank,British: clearing / joint-stock bank,False,False,0.3442651863295482,12
all_crises,Bank of Montreal,London Joint Stock Bank,Colonial / Imperial bank,British: clearing / joint-stock bank,False,False,0.3380617018914066,6
all_crises,Bank of Montreal,Swiss Bankverein,Colonial / Imperial bank,Foreign bank (1914 wartime),False,False,0.3464101615137754,3
all_crises,Bank of Montreal,Union Bank of Scotland,Colonial / Imperial bank,British: clearing / joint-stock bank,False,False,0.3892494720807615,5
all_crises,Banque Belge,Baring Brothers & Co,Foreign bank (1914 wartime),British: private / merchant (native),False,False,0.35355339059327373,4
all_crises,Banque Belge,Brightwen & Co,Foreign bank (1914 wartime),British: private / merchant (native),False,False,0.3500700210070024,10
all_crises,Banque Belge,C. J. Hambro & Son,Foreign bank (1914 wartime),Emigre: German & Central European,False,False,0.3333333333333333,8
all_crises,Banque Belge,"Daniell, Cazenove & Co",Foreign bank (1914 wartime),British: private / merchant (native),False,False,0.3849001794597505,8
all_crises,Banque Belge,Eastern Bank,Foreign bank (1914 wartime),Colonial / Imperial bank,False,False,0.31980107453341566,6
all_crises,Banque Belge,Gillett Brothers,Foreign bank (1914 wartime),British: discount house,False,False,0.375,6
all_crises,Banque Belge,Hongkong & Shanghai Banking Corp.,Foreign bank (1914 wartime),Colonial / Imperial bank,False,False,0.3125,5
all_crises,Banque Belge,Imperial Ottoman Bank,Foreign bank (1914 wartime),Foreign bank (1914 wartime),False,True,0.3768891807222045,5
all_crises,Banque Belge,Mercantile Bank of India,Foreign bank (1914 wartime),Colonial / Imperial bank,False,False,0.3872983346207417,6
all_crises,Banque Belge,"Reeves, Whitburn & Co",Foreign bank (1914 wartime),British: private / merchant (native),False,False,0.5020790110464023,11
all_crises,Banque Belge,Ryder & Co,Foreign bank (1914 wartime),British: discount house,False,False,0.3227486121839514,5
all_crises,Banque Belge,"Smith, St Aubyn & Co",Foreign bank (1914 wartime),British: discount house,False,False,0.38587181657064484,9
all_crises,Banque Belge,Union Discount Co. of London,Foreign bank (1914 wartime),British: discount house,False,False,0.3698977214370539,9
all_crises,Banque Belge,Frühling & Goschen,Foreign bank (1914 wartime),Emigre: German & Central European,False,False,0.33407655239053047,5
all_crises,Banque Belge,London County & Westminster Bank,Foreign bank (1914 wartime),British: clearing / joint-stock bank,False,False,0.3888888888888889,14
all_crises,Banque Belge,National Bank of India,Foreign bank (1914 wartime),Colonial / Imperial bank,False,False,0.35,7
all_crises,Banque Belge,Parr's Bank,Foreign bank (1914 wartime),British: clearing / joint-stock bank,False,False,0.3154466340720224,11
all_crises,Banque Belge,Yokohama Specie Bank,Foreign bank (1914 wartime),Foreign bank (1914 wartime),False,True,0.33541019662496846,3
all_crises,Banque Belge,Comptoir National d'Escompte de Paris,Foreign bank (1914 wartime),Foreign bank (1914 wartime),False,True,0.3127716210856122,6
all_crises,Banque Belge,"Glyn, Mills, Currie & Co",Foreign bank (1914 wartime),British: private / merchant (native),False,False,0.35139096424936367,9
all_crises,Banque Belge,London & Brazilian Bank,Foreign bank (1914 wartime),Colonial / Imperial bank,False,False,0.4166666666666667,5
all_crises,Banque Belge,Union of London & Smiths Bank,Foreign bank (1914 wartime),British: clearing / joint-stock bank,False,False,0.3141893589398406,13
all_crises,Banque Belge,London & South Western Bank,Foreign bank (1914 wartime),British: clearing / joint-stock bank,False,False,0.36490022459988086,7
all_crises,Banque Belge,London Joint Stock Bank,Foreign bank (1914 wartime),British: clearing / joint-stock bank,False,False,0.3818813079129867,7
all_crises,Banque Belge,National Provincial Bank,Foreign bank (1914 wartime),British: clearing / joint-stock bank,False,False,0.3061862178478973,6
all_crises,Barclay & Co,Brightwen & Co,British: clearing / joint-stock bank,British: private / merchant (native),False,False,0.3175536744149779,12
all_crises,Barclay & Co,London County & Westminster Bank,British: clearing / joint-stock bank,British: clearing / joint-stock bank,False,True,0.39896249928751765,19
all_crises,Barclay & Co,Capital & Counties Bank,British: clearing / joint-stock bank,British: clearing / joint-stock bank,False,True,0.4008918628686366,9
all_crises,Barclay & Co,Comptoir National d'Escompte de Paris,British: clearing / joint-stock bank,Foreign bank (1914 wartime),False,False,0.3546496828075953,9
all_crises,Barclay & Co,"Daniell, Cazenove & Co",British: clearing / joint-stock bank,British: private / merchant (native),False,False,0.40006613209931935,11
all_crises,Barclay & Co,Lloyds Bank,British: clearing / joint-stock bank,British: clearing / joint-stock bank,False,True,0.3779644730092272,14
all_crises,Barclay & Co,London & South Western Bank,British: clearing / joint-stock bank,British: clearing / joint-stock bank,False,True,0.3546496828075953,9
all_crises,Barclay & Co,Parr's Bank,British: clearing / joint-stock bank,British: clearing / joint-stock bank,False,True,0.45523273400016295,21
all_crises,Barclay & Co,Union Discount Co. of London,British: clearing / joint-stock bank,British: discount house,False,False,0.34175337130066,11
all_crises,Barclay & Co,Union of London & Smiths Bank,British: clearing / joint-stock bank,British: clearing / joint-stock bank,False,True,0.45674005952616853,25
all_crises,Barclay & Co,National Provincial Bank,British: clearing / joint-stock bank,British: clearing / joint-stock bank,False,True,0.3471825374147068,9
all_crises,Barclay & Co,Royal Bank of Scotland,British: clearing / joint-stock bank,British: clearing / joint-stock bank,False,True,0.38575837490522974,10
all_crises,Baring Brothers & Co,Cunliffe Brothers,British: private / merchant (native),British: private / merchant (native),False,True,0.30304576336566325,6
all_crises,Baring Brothers & Co,Gillett Brothers,British: private / merchant (native),British: discount house,False,False,0.35355339059327373,4
all_crises,Bieber & Co,Leonino & Co,Emigre: German & Central European,Emigre: Greek & Levantine,True,False,0.30678599553894814,8
all_crises,Bieber & Co,M. Levin & Adler,Emigre: German & Central European,Emigre: German & Central European,True,True,0.30012252399939043,7
all_crises,Bieber & Co,Ralli Brothers,Emigre: German & Central European,Emigre: Greek & Levantine,True,False,0.32196045810839236,17
all_crises,Bischoffsheim & Goldschmidt,"Overend, Gurney & Co",Emigre: German & Central European,British: discount house,False,False,0.3396831102433787,6
